r30m44;Variable;factor;weight;spatial
FE|Industry|Gases|+|Biomass (EJ/yr);Final Energy|Industry|Gases|Bioenergy (EJ/yr);1;NULL;reg+glo
FE|Industry|+|Heat (EJ/yr);Final Energy|Industry|Heat (EJ/yr);1;NULL;reg+glo
FE|Industry|+|Hydrogen (EJ/yr);Final Energy|Industry|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Industry|+|Liquids (EJ/yr);Final Energy|Industry|Liquids (EJ/yr);1;NULL;reg+glo
FE|Industry|Other Industry|+|Electricity (EJ/yr);Final Energy|Industry|Other|Electricity (EJ/yr);1;NULL;reg+glo
FE|Industry|Other Industry|+|Gases (EJ/yr);Final Energy|Industry|Other|Gases (EJ/yr);1;NULL;reg+glo
FE|Industry|Other Industry|+|Heat (EJ/yr);Final Energy|Industry|Other|Heat (EJ/yr);1;NULL;reg+glo
FE|Industry|Other Industry|+|Hydrogen (EJ/yr);Final Energy|Industry|Other|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Industry|Other Industry|+|Liquids (EJ/yr);Final Energy|Industry|Other|Liquids (EJ/yr);1;NULL;reg+glo
FE|Industry|Other Industry|+|Solids (EJ/yr);Final Energy|Industry|Other|Solids (EJ/yr);1;NULL;reg+glo
FE|Industry|+|Solids (EJ/yr);Final Energy|Industry|Solids (EJ/yr);1;NULL;reg+glo
FE|Industry|Solids|+|Biomass (EJ/yr);Final Energy|Industry|Solids|Biomass (EJ/yr);1;NULL;reg+glo
FE|Industry|Solids|Coal (EJ/yr);Final Energy|Industry|Solids|Coal (EJ/yr);1;NULL;reg+glo
FE|Industry|+++|Steel (EJ/yr);Final Energy|Industry|Steel (EJ/yr);1;NULL;reg+glo
FE|Industry|Steel|+|Electricity (EJ/yr);Final Energy|Industry|Steel|Electricity (EJ/yr);1;NULL;reg+glo
FE|Industry|Steel|+|Gases (EJ/yr);Final Energy|Industry|Steel|Gases (EJ/yr);1;NULL;reg+glo
FE|Industry|Heat|Steel (EJ/yr);Final Energy|Industry|Steel|Heat (EJ/yr);1;NULL;reg+glo
FE|Industry|Steel|+|Hydrogen (EJ/yr);Final Energy|Industry|Steel|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Industry|Steel|+|Liquids (EJ/yr);Final Energy|Industry|Steel|Liquids (EJ/yr);1;NULL;reg+glo
FE|Industry|Steel|+|Solids (EJ/yr);Final Energy|Industry|Steel|Solids (EJ/yr);1;NULL;reg+glo
FE|+|Liquids (EJ/yr);Final Energy|Liquids (EJ/yr);1;NULL;reg+glo
FE|++|CDR (EJ/yr);Final Energy|Other Sector (EJ/yr);1;NULL;reg+glo
FE|CDR|+|Electricity (EJ/yr);Final Energy|Other Sector|Electricity (EJ/yr);1;NULL;reg+glo
FE|CDR|+|Gases (EJ/yr);Final Energy|Other Sector|Gases (EJ/yr);1;NULL;reg+glo
FE|CDR|+|Hydrogen (EJ/yr);Final Energy|Other Sector|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|CDR|+|Liquids (EJ/yr);Final Energy|Other Sector|Liquids (EJ/yr);1;NULL;reg+glo
FE|+|Solids (EJ/yr);Final Energy|Solids (EJ/yr);1;NULL;reg+glo
FE|Solids|+|Biomass (EJ/yr);Final Energy|Solids|Biomass (EJ/yr);1;NULL;reg+glo
FE|Solids|Biomass|+|Traditional (EJ/yr);Final Energy|Solids|Biomass|Traditional (EJ/yr);1;NULL;reg+glo
FE|Solids|Fossil|+|Coal (EJ/yr);Final Energy|Solids|Coal (EJ/yr);1;NULL;reg+glo
FE|++|Transport (EJ/yr);Final Energy|Transportation (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Aviation|Domestic (EJ/yr);Final Energy|Transportation|Aviation|Passenger (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Aviation|International (EJ/yr);Final Energy|Transportation|Aviation|Passenger (EJ/yr);1;NULL;reg+glo
FE|Transport|+|Electricity (EJ/yr);Final Energy|Transportation|Electricity (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Electricity (EJ/yr);Final Energy|Transportation|Freight (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Gases (EJ/yr);Final Energy|Transportation|Freight (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Hydrogen (EJ/yr);Final Energy|Transportation|Freight (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Liquids (EJ/yr);Final Energy|Transportation|Freight (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Electricity (EJ/yr);Final Energy|Transportation|Freight|Electricity (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Gases (EJ/yr);Final Energy|Transportation|Freight|Gases (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Hydrogen (EJ/yr);Final Energy|Transportation|Freight|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Liquids (EJ/yr);Final Energy|Transportation|Freight|Liquids (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Liquids|Biomass (EJ/yr);Final Energy|Transportation|Freight|Liquids|Bioenergy (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Liquids|Oil (EJ/yr);Final Energy|Transportation|Freight|Liquids|Oil (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Liquids|Hydrogen (EJ/yr);Final Energy|Transportation|Freight|Other (EJ/yr);1;NULL;reg+glo
FE|Transport|+|Gases (EJ/yr);Final Energy|Transportation|Gases (EJ/yr);1;NULL;reg+glo
FE|Transport|Gases|+|Biomass (EJ/yr);Final Energy|Transportation|Gases|Bioenergy (EJ/yr);1;NULL;reg+glo
FE|Transport|Gases|+|Fossil (EJ/yr);Final Energy|Transportation|Gases|Fossil (EJ/yr);1;NULL;reg+glo
FE|Transport|Gases|+|Hydrogen (EJ/yr);Final Energy|Transportation|Gases|Fossil (EJ/yr);1;NULL;reg+glo
FE|Transport|+|Hydrogen (EJ/yr);Final Energy|Transportation|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Transport|+|Liquids (EJ/yr);Final Energy|Transportation|Liquids (EJ/yr);1;NULL;reg+glo
FE|Transport|Liquids|+|Biomass (EJ/yr);Final Energy|Transportation|Liquids|Bioenergy (EJ/yr);1;NULL;reg+glo
FE|Transport|Liquids|Fossil|+|Coal (EJ/yr);Final Energy|Transportation|Liquids|Coal (EJ/yr);1;NULL;reg+glo
FE|Transport|Liquids|Fossil|+|Oil (EJ/yr);Final Energy|Transportation|Liquids|Oil (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Navigation (EJ/yr);Final Energy|Transportation|Maritime (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|International Shipping (EJ/yr);Final Energy|Transportation|Maritime (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Navigation (EJ/yr);Final Energy|Transportation|Maritime|Freight (EJ/yr);1;NULL;reg+glo
FE|Transport|Liquids|+|Hydrogen (EJ/yr);Final Energy|Transportation|Other (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass (EJ/yr);Final Energy|Transportation|Passenger (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Electricity (EJ/yr);Final Energy|Transportation|Passenger|Electricity (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Gases (EJ/yr);Final Energy|Transportation|Passenger|Gases (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Hydrogen (EJ/yr);Final Energy|Transportation|Passenger|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Liquids (EJ/yr);Final Energy|Transportation|Passenger|Liquids (EJ/yr);1;NULL;reg+glo
FE|Transport|Rail (EJ/yr);Final Energy|Transportation|Rail (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Rail (EJ/yr);Final Energy|Transportation|Rail|Freight (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Rail (EJ/yr);Final Energy|Transportation|Rail|Passenger (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Road (EJ/yr);Final Energy|Transportation|Road|Freight (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Road|Electricity (EJ/yr);Final Energy|Transportation|Road|Freight|Electric (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Road|Hydrogen (EJ/yr);Final Energy|Transportation|Road|Freight|FC (EJ/yr);1;NULL;reg+glo
FE|Transport|Freight|Road|Liquids (EJ/yr);Final Energy|Transportation|Road|Freight|ICE (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Road (EJ/yr);Final Energy|Transportation|Road|Passenger (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Road|LDV|Two-Wheelers (EJ/yr);Final Energy|Transportation|Road|Passenger|2W&3W (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Road|Bus (EJ/yr);Final Energy|Transportation|Road|Passenger|Bus (EJ/yr);1;NULL;reg+glo
FE|Transport|Pass|Road|LDV (EJ/yr);Final Energy|Transportation|Road|Passenger|LDV (EJ/yr);1;NULL;reg+glo
Price|Final Energy|Transport|Electricity|Moving Avg (US$2005/GJ);Price|Final Energy|Transportation|Electricity (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Transport|Gases (US$2005/GJ);Price|Final Energy|Transportation|Gases (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Transport|Hydrogen (US$2005/GJ);Price|Final Energy|Transportation|Hydrogen (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Transport|Liquids (US$2005/GJ);Price|Final Energy|Transportation|Liquids (US$2010/GJ);1.10774;NULL;reg+glo
Price|Final Energy|Transport|Liquids (US$2005/GJ);Price|Final Energy|Transportation|Liquids|Fossil synfuel (US$2010/GJ);1.10774;NULL;reg+glo
PE (EJ/yr);Primary Energy (EJ/yr);1;NULL;reg+glo
PE|+|Biomass (EJ/yr);Primary Energy|Biomass (EJ/yr);1;NULL;reg+glo
PE|Biomass|1st Generation (EJ/yr);Primary Energy|Biomass|1st Generation (EJ/yr);1;NULL;reg+glo
PE|Biomass|Electricity (EJ/yr);Primary Energy|Biomass|Electricity (EJ/yr);1;NULL;reg+glo
PE|Biomass|Electricity|w/ CC (EJ/yr);Primary Energy|Biomass|Electricity|w/ CCS (EJ/yr);1;NULL;reg+glo
PE|Biomass|Electricity|w/o CC (EJ/yr);Primary Energy|Biomass|Electricity|w/o CCS (EJ/yr);1;NULL;reg+glo
PE|Biomass|Energy Crops (EJ/yr);Primary Energy|Biomass|Energy Crops (EJ/yr);1;NULL;reg+glo
PE|Biomass|Gases (EJ/yr);Primary Energy|Biomass|Gases (EJ/yr);1;NULL;reg+glo
PE|Biomass|Hydrogen (EJ/yr);Primary Energy|Biomass|Hydrogen (EJ/yr);1;NULL;reg+glo
PE|Biomass|Liquids (EJ/yr);Primary Energy|Biomass|Liquids (EJ/yr);1;NULL;reg+glo
PE|Biomass|Modern (EJ/yr);Primary Energy|Biomass|Modern (EJ/yr);1;NULL;reg+glo
PE|Biomass|w/ CC (EJ/yr);Primary Energy|Biomass|Modern|w/ CCS (EJ/yr);1;NULL;reg+glo
PE|Biomass|w/o CC (EJ/yr);Primary Energy|Biomass|Modern|w/o CCS (EJ/yr);1;NULL;reg+glo
PE|Biomass|Residues (EJ/yr);Primary Energy|Biomass|Residues (EJ/yr);1;NULL;reg+glo
PE|Biomass|Solids (EJ/yr);Primary Energy|Biomass|Solids (EJ/yr);1;NULL;reg+glo
PE|Biomass|Traditional (EJ/yr);Primary Energy|Biomass|Traditional (EJ/yr);1;NULL;reg+glo
PE|+|Coal (EJ/yr);Primary Energy|Coal (EJ/yr);1;NULL;reg+glo
PE|Coal|Electricity (EJ/yr);Primary Energy|Coal|Electricity (EJ/yr);1;NULL;reg+glo
PE|Coal|Electricity|w/ CC (EJ/yr);Primary Energy|Coal|Electricity|w/ CCS (EJ/yr);1;NULL;reg+glo
PE|Coal|Electricity|w/o CC (EJ/yr);Primary Energy|Coal|Electricity|w/o CCS (EJ/yr);1;NULL;reg+glo
PE|Coal|Gases (EJ/yr);Primary Energy|Coal|Gases (EJ/yr);1;NULL;reg+glo
PE|Coal|Hydrogen (EJ/yr);Primary Energy|Coal|Hydrogen (EJ/yr);1;NULL;reg+glo
PE|Coal|Liquids (EJ/yr);Primary Energy|Coal|Liquids (EJ/yr);1;NULL;reg+glo
PE|Coal|Solids (EJ/yr);Primary Energy|Coal|Solids (EJ/yr);1;NULL;reg+glo
PE|Coal|w/ CC (EJ/yr);Primary Energy|Coal|w/ CCS (EJ/yr);1;NULL;reg+glo
PE|Coal|w/o CC (EJ/yr);Primary Energy|Coal|w/o CCS (EJ/yr);1;NULL;reg+glo
PE|Fossil (EJ/yr);Primary Energy|Fossil (EJ/yr);1;NULL;reg+glo
PE|Fossil|w/ CC (EJ/yr);Primary Energy|Fossil|w/ CCS (EJ/yr);1;NULL;reg+glo
PE|Fossil|w/o CC (EJ/yr);Primary Energy|Fossil|w/o CCS (EJ/yr);1;NULL;reg+glo
PE|+|Gas (EJ/yr);Primary Energy|Gas (EJ/yr);1;NULL;reg+glo
PE|Gas|Electricity (EJ/yr);Primary Energy|Gas|Electricity (EJ/yr);1;NULL;reg+glo
PE|Gas|Electricity|w/ CC (EJ/yr);Primary Energy|Gas|Electricity|w/ CCS (EJ/yr);1;NULL;reg+glo
PE|Gas|Electricity|w/o CC (EJ/yr);Primary Energy|Gas|Electricity|w/o CCS (EJ/yr);1;NULL;reg+glo
PE|Gas|Gases (EJ/yr);Primary Energy|Gas|Gases (EJ/yr);1;NULL;reg+glo
PE|Gas|Hydrogen (EJ/yr);Primary Energy|Gas|Hydrogen (EJ/yr);1;NULL;reg+glo
PE|Gas|Liquids (EJ/yr);Primary Energy|Gas|Liquids (EJ/yr);1;NULL;reg+glo
PE|Gas|w/ CC (EJ/yr);Primary Energy|Gas|w/ CCS (EJ/yr);1;NULL;reg+glo
PE|Gas|w/o CC (EJ/yr);Primary Energy|Gas|w/o CCS (EJ/yr);1;NULL;reg+glo
PE|+|Geothermal (EJ/yr);Primary Energy|Geothermal (EJ/yr);1;NULL;reg+glo
PE|+|Hydro (EJ/yr);Primary Energy|Hydro (EJ/yr);1;NULL;reg+glo
PE|Non-Biomass Renewables (EJ/yr);Primary Energy|Non-Biomass Renewables (EJ/yr);1;NULL;reg+glo
PE|+|Geothermal (EJ/yr);Primary Energy|Non-Biomass Renewables|Geothermal (EJ/yr);1;NULL;reg+glo
PE|+|Hydro (EJ/yr);Primary Energy|Non-Biomass Renewables|Hydro (EJ/yr);1;NULL;reg+glo
PE|+|Solar (EJ/yr);Primary Energy|Non-Biomass Renewables|Solar (EJ/yr);1;NULL;reg+glo
PE|+|Wind (EJ/yr);Primary Energy|Non-Biomass Renewables|Wind (EJ/yr);1;NULL;reg+glo
PE|+|Nuclear (EJ/yr);Primary Energy|Nuclear (EJ/yr);1;NULL;reg+glo
PE|+|Oil (EJ/yr);Primary Energy|Oil (EJ/yr);1;NULL;reg+glo
PE|Oil|w/o CC (EJ/yr);Primary Energy|Oil|w/o CCS (EJ/yr);1;NULL;reg+glo
PE|+|Solar (EJ/yr);Primary Energy|Solar (EJ/yr);1;NULL;reg+glo
PE|+|Wind (EJ/yr);Primary Energy|Wind (EJ/yr);1;NULL;reg+glo
SE (EJ/yr);Secondary Energy (EJ/yr);1;NULL;reg+glo
SE|Electricity (EJ/yr);Secondary Energy|Electricity (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Biomass (EJ/yr);Secondary Energy|Electricity|Biomass (EJ/yr);1;NULL;reg+glo
SE|Electricity|Biomass|+|w/ CC (EJ/yr);Secondary Energy|Electricity|Biomass|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Electricity|Biomass|+|w/o CC (EJ/yr);Secondary Energy|Electricity|Biomass|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Coal (EJ/yr);Secondary Energy|Electricity|Coal (EJ/yr);1;NULL;reg+glo
SE|Electricity|Coal|+|w/ CC (EJ/yr);Secondary Energy|Electricity|Coal|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Electricity|Coal|+|w/o CC (EJ/yr);Secondary Energy|Electricity|Coal|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Electricity|Curtailment (EJ/yr);Secondary Energy|Electricity|Curtailment (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Gas (EJ/yr);Secondary Energy|Electricity|Gas (EJ/yr);1;NULL;reg+glo
SE|Electricity|Gas|+|w/ CC (EJ/yr);Secondary Energy|Electricity|Gas|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Electricity|Gas|+|w/o CC (EJ/yr);Secondary Energy|Electricity|Gas|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Geothermal (EJ/yr);Secondary Energy|Electricity|Geothermal (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Hydro (EJ/yr);Secondary Energy|Electricity|Hydro (EJ/yr);1;NULL;reg+glo
SE|Electricity|Non-Biomass Renewables (EJ/yr);Secondary Energy|Electricity|Non-Biomass Renewables (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Nuclear (EJ/yr);Secondary Energy|Electricity|Nuclear (EJ/yr);1;NULL;reg+glo
SE|Electricity|Oil|DOT (EJ/yr);Secondary Energy|Electricity|Oil (EJ/yr);1;NULL;reg+glo
SE|Electricity|Oil|w/o CC (EJ/yr);Secondary Energy|Electricity|Oil|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Hydrogen (EJ/yr);Secondary Energy|Electricity|Other (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Solar (EJ/yr);Secondary Energy|Electricity|Solar (EJ/yr);1;NULL;reg+glo
SE|Electricity|Solar|+|CSP (EJ/yr);Secondary Energy|Electricity|Solar|CSP (EJ/yr);1;NULL;reg+glo
SE|Electricity|Solar|+|PV (EJ/yr);Secondary Energy|Electricity|Solar|PV (EJ/yr);1;NULL;reg+glo
SE|Electricity|+|Wind (EJ/yr);Secondary Energy|Electricity|Wind (EJ/yr);1;NULL;reg+glo
SE|Electricity|Wind|+|Offshore (EJ/yr);Secondary Energy|Electricity|Wind|Offshore (EJ/yr);1;NULL;reg+glo
SE|Electricity|Wind|+|Onshore (EJ/yr);Secondary Energy|Electricity|Wind|Onshore (EJ/yr);1;NULL;reg+glo
SE|Gases (EJ/yr);Secondary Energy|Gases (EJ/yr);1;NULL;reg+glo
SE|Gases|+|Waste (EJ/yr);Secondary Energy|Gases (EJ/yr);-1;NULL;reg+glo
SE|Gases|+|Biomass (EJ/yr);Secondary Energy|Gases|Biomass (EJ/yr);1;NULL;reg+glo
SE|Gases|Fossil|+|Coal (EJ/yr);Secondary Energy|Gases|Coal (EJ/yr);1;NULL;reg+glo
SE|Gases|Fossil|+|Natural Gas (EJ/yr);Secondary Energy|Gases|Natural Gas (EJ/yr);1;NULL;reg+glo
SE|Gases|+|Hydrogen (EJ/yr);Secondary Energy|Gases|Other (EJ/yr);1;NULL;reg+glo
SE|Heat (EJ/yr);Secondary Energy|Heat (EJ/yr);1;NULL;reg+glo
SE|Heat|+|Biomass (EJ/yr);Secondary Energy|Heat|Biomass (EJ/yr);1;NULL;reg+glo
SE|Heat|+|Coal (EJ/yr);Secondary Energy|Heat|Coal (EJ/yr);1;NULL;reg+glo
SE|Heat|+|Gas (EJ/yr);Secondary Energy|Heat|Gas (EJ/yr);1;NULL;reg+glo
SE|Heat|+|Geothermal (EJ/yr);Secondary Energy|Heat|Geothermal (EJ/yr);1;NULL;reg+glo
SE|Heat|+|Solar (EJ/yr);Secondary Energy|Heat|Solar (EJ/yr);1;NULL;reg+glo
SE|Hydrogen (EJ/yr);Secondary Energy|Hydrogen (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|+|Biomass (EJ/yr);Secondary Energy|Hydrogen|Biomass (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Biomass|+|w/ CC (EJ/yr);Secondary Energy|Hydrogen|Biomass|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Biomass|+|w/o CC (EJ/yr);Secondary Energy|Hydrogen|Biomass|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|+|Coal (EJ/yr);Secondary Energy|Hydrogen|Coal (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Coal|+|w/ CC (EJ/yr);Secondary Energy|Hydrogen|Coal|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Coal|+|w/o CC (EJ/yr);Secondary Energy|Hydrogen|Coal|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|+|Electricity (EJ/yr);Secondary Energy|Hydrogen|Electricity (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Fossil (EJ/yr);Secondary Energy|Hydrogen|Fossil (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Fossil|+|w/ CC (EJ/yr);Secondary Energy|Hydrogen|Fossil|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Fossil|+|w/o CC (EJ/yr);Secondary Energy|Hydrogen|Fossil|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|+|Gas (EJ/yr);Secondary Energy|Hydrogen|Gas (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Gas|+|w/ CC (EJ/yr);Secondary Energy|Hydrogen|Gas|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Hydrogen|Gas|+|w/o CC (EJ/yr);Secondary Energy|Hydrogen|Gas|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids (EJ/yr);Secondary Energy|Liquids (EJ/yr);1;NULL;reg+glo
SE|Liquids|+|Biomass (EJ/yr);Secondary Energy|Liquids|Biomass (EJ/yr);1;NULL;reg+glo
SE|Liquids|Biomass|1st Generation (EJ/yr);Secondary Energy|Liquids|Biomass|1st Generation (EJ/yr);1;NULL;reg+glo
SE|Liquids|Biomass|Energy Crops (EJ/yr);Secondary Energy|Liquids|Biomass|Energy Crops (EJ/yr);1;NULL;reg+glo
SE|Liquids|Biomass|Residues (EJ/yr);Secondary Energy|Liquids|Biomass|Residues (EJ/yr);1;NULL;reg+glo
SE|Liquids|Biomass|+|w/ CC (EJ/yr);Secondary Energy|Liquids|Biomass|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids|Biomass|+|w/o CC (EJ/yr);Secondary Energy|Liquids|Biomass|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|+|Coal (EJ/yr);Secondary Energy|Liquids|Coal (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|Coal|+|w/ CC (EJ/yr);Secondary Energy|Liquids|Coal|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|Coal|+|w/o CC (EJ/yr);Secondary Energy|Liquids|Coal|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids|+|Fossil (EJ/yr);Secondary Energy|Liquids|Fossil (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|++|w/ CC (EJ/yr);Secondary Energy|Liquids|Fossil|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|++|w/o CC (EJ/yr);Secondary Energy|Liquids|Fossil|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|+|Gas (EJ/yr);Secondary Energy|Liquids|Gas (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|Gas|+|w/ CC (EJ/yr);Secondary Energy|Liquids|Gas|w/ CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|Gas|+|w/o CC (EJ/yr);Secondary Energy|Liquids|Gas|w/o CCS (EJ/yr);1;NULL;reg+glo
SE|Liquids|Fossil|+|Oil (EJ/yr);Secondary Energy|Liquids|Oil (EJ/yr);1;NULL;reg+glo
SE|Solids (EJ/yr);Secondary Energy|Solids (EJ/yr);1;NULL;reg+glo
SE|Solids|+|Biomass (EJ/yr);Secondary Energy|Solids|Biomass (EJ/yr);1;NULL;reg+glo
SE|Solids|+|Traditional Biomass (EJ/yr);Secondary Energy|Solids|Biomass (EJ/yr);1;NULL;reg+glo
SE|Solids|+|Coal (EJ/yr);Secondary Energy|Solids|Coal (EJ/yr);1;NULL;reg+glo
Trade|Biomass (EJ/yr);Trade|Primary Energy|Biomass|Volume (EJ/yr);1;NULL;reg+glo
Trade|Coal (EJ/yr);Trade|Primary Energy|Coal|Volume (EJ/yr);1;NULL;reg+glo
Trade|Gas (EJ/yr);Trade|Primary Energy|Gas|Volume (EJ/yr);1;NULL;reg+glo
Trade|Oil (EJ/yr);Trade|Primary Energy|Oil|Volume (EJ/yr);1;NULL;reg+glo
Trade|Uranium|Mass (ktU/yr);Trade|Uranium|Mass (kt U/yr);1;NULL;reg+glo
Revenue|Government|Tax|Carbon (billion US$2005/yr);Revenue|Government|Tax|Carbon (billion US$2010/yr);1.10774;NULL;reg+glo
Revenue|Government|Tax|Carbon|+|Demand|Buildings (billion US$2005/yr);Revenue|Government|Tax|Carbon|Demand|Buildings (billion US$2010/yr);1.10774;NULL;reg+glo
Revenue|Government|Tax|Carbon|+|Demand|Industry (billion US$2005/yr);Revenue|Government|Tax|Carbon|Demand|Industry (billion US$2010/yr);1.10774;NULL;reg+glo
Revenue|Government|Tax|Carbon|+|Demand|Transport (billion US$2005/yr);Revenue|Government|Tax|Carbon|Demand|Transport (billion US$2010/yr);1.10774;NULL;reg+glo
Revenue|Government|Tax|Carbon|+|Supply (billion US$2005/yr);Revenue|Government|Tax|Carbon|Supply (billion US$2010/yr);1.10774;NULL;reg+glo
Household Expenditure|Food|Expenditure (USD/capita);Expenditure|household|Food (billion US$2010/yr);1;NULL;reg+glo
Carbon Intensity|Production|Cement (Mt CO2/Mt);Carbon Intensity|Production|Cement (Mt CO2-equiv/Mt);1;NULL;reg+glo
Carbon Intensity|Production|Cement|Fossil|Energy|Demand (Mt CO2/Mt);Carbon Intensity|Production|Cement|Fossil|Energy|Demand|Industry (Mt CO2-equiv/Mt);1;NULL;reg+glo
Carbon Intensity|Production|Cement|Industrial Processes (Mt CO2/Mt);Carbon Intensity|Production|Cement|Industrial Processes (Mt CO2-equiv/Mt);1;NULL;reg+glo
Carbon Intensity|Production|Steel (Mt CO2/Mt);Carbon Intensity|Production|Steel (Mt CO2-equiv/Mt);1;NULL;reg+glo
Carbon Intensity|Production|Steel|Fossil|Energy|Demand (Mt CO2/Mt);Carbon Intensity|Production|Steel|Fossil|Energy|Demand|Industry (Mt CO2-equiv/Mt);1;NULL;reg+glo
Production|Industry|Cement (Mt/yr);Production|Cement (Mt/year);1;NULL;reg+glo
Production|Industry|Steel (Mt/yr);Production|Steel (Mt/year);1;NULL;reg+glo
FE|Industry|Specific Energy Consumption|Cement (GJ/t);Specific Energy Consumption|Production|Cement (MJ/t);1000;NULL;reg+glo
FE|Industry|Specific Energy Consumption|Primary Steel (GJ/t);Specific Energy Consumption|Production|Steel (MJ/t);1000;NULL;reg+glo
FE|Industry|Specific Energy Consumption|Secondary Steel (GJ/t);Specific Energy Consumption|Production|Steel (MJ/t);1000;NULL;reg+glo
Investments (billion US$2005/yr);Investment (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Supply (billion US$2005/yr);Investment|Energy Supply (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|CO2 Trans&Stor (billion US$2005/yr);Investment|Energy Supply|CO2 Transport and Storage (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Electricity (billion US$2005/yr);Investment|Energy Supply|Electricity (billion US$2010/yr);1.10774;NULL;reg+glo
Energy Investments|Elec|Biomass (billion US$2005/yr);Investment|Energy Supply|Electricity|Biomass (billion US$2010/yr);1.10774;NULL;reg+glo
