r30m44;Variable;factor;weight;spatial
Tech|Electricity|Hydro|Capital Costs (US$2005/kW);Capital Cost|Electricity|Hydro (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Geothermal|Capital Costs (US$2005/kW);Capital Cost|Electricity|Geothermal (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Gas|Combined Cycle w/o CC|Capital Costs (US$2005/kW);Capital Cost|Electricity|Gas|w/o CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Gas|Combined Cycle w/ CC|Capital Costs (US$2005/kW);Capital Cost|Electricity|Gas|w/ CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Coal|Combined Heat and Power w/o CC|Capital Costs (US$2005/kW);Capital Cost|Electricity|Coal|w/o CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Coal|Gasification Combined Cycle w/ CC|Capital Costs (US$2005/kW);Capital Cost|Electricity|Coal|w/ CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Biomass|Combined Heat and Power w/o CC|Capital Costs (US$2005/kW);Capital Cost|Electricity|Biomass|w/o CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Biomass|Gasification Combined Cycle w/ CC|Capital Costs (US$2005/kW);Capital Cost|Electricity|Biomass|w/ CCS (US$2010/kW);1.10774;NULL;reg+glo
Concentration|CH4 (ppb);Concentration|CH4 (ppb);1;NULL;glo
Concentration|CO2 (ppm);Concentration|CO2 (ppm);1;NULL;glo
Concentration|N2O (ppb);Concentration|N2O (ppb);1;NULL;glo
Forcing (W/m2);Forcing (W/m2);1;NULL;reg+glo
Forcing|Aerosol (W/m2);Forcing|Aerosol (W/m2);1;NULL;reg+glo
Forcing|Aerosol|BC (W/m2);Forcing|Aerosol|BC (W/m2);1;NULL;reg+glo
Forcing|Aerosol|Cloud Indirect (W/m2);Forcing|Aerosol|Cloud Indirect (W/m2);1;NULL;reg+glo
Forcing|Aerosol|OC (W/m2);Forcing|Aerosol|OC (W/m2);1;NULL;reg+glo
Forcing|Aerosol|Other (W/m2);Forcing|Aerosol|Other (W/m2);1;NULL;reg+glo
Forcing|Aerosol|Sulfate Direct (W/m2);Forcing|Aerosol|Sulfate Direct (W/m2);1;NULL;reg+glo
Forcing|Albedo Change and Mineral Dust (W/m2);Forcing|Albedo Change and Mineral Dust (W/m2);1;NULL;reg+glo
Forcing|CH4 (W/m2);Forcing|CH4 (W/m2);1;NULL;reg+glo
Forcing|CO2 (W/m2);Forcing|CO2 (W/m2);1;NULL;reg+glo
Forcing|F-Gases (W/m2);Forcing|F-Gases (W/m2);1;NULL;reg+glo
Forcing|Kyoto Gases (W/m2);Forcing|Kyoto Gases (W/m2);1;NULL;reg+glo
Forcing|Montreal Gases (W/m2);Forcing|Montreal Gases (W/m2);1;NULL;reg+glo
Forcing|N2O (W/m2);Forcing|N2O (W/m2);1;NULL;reg+glo
Forcing|Other (W/m2);Forcing|Other (W/m2);1;NULL;reg+glo
Forcing|Tropospheric Ozone (W/m2);Forcing|Tropospheric Ozone (W/m2);1;NULL;reg+glo
Temperature|Global Mean (K);Temperature|Global Mean (°C);1;NULL;reg+glo
Investments (billion US$2005/yr);Capital Formation (billion US$2010/yr);1.10774;NULL;reg+glo
Consumption (billion US$2005/yr);Consumption (billion US$2010/yr);1.10774;NULL;reg+glo
GDP|MER (billion US$2005/yr);GDP|MER (billion US$2010/yr);1.10774;NULL;reg+glo
GDP|PPP (billion US$2005/yr);GDP|PPP (billion US$2010/yr);1.10774;NULL;reg+glo
Interest Rate t/(t-1)|Real (unitless);Interest Rate|Real (%);100;NULL;reg+glo
Policy Cost|Additional Total Energy System Cost (billion US$2005/yr);Policy Cost|Additional Total Energy System Cost (billion US$2010/yr);1.10774;NULL;reg+glo
Policy Cost|Consumption + Current Account Loss (billion US$2005/yr);Policy Cost|Consumption Loss (billion US$2010/yr);-1.10774;NULL;glo
Policy Cost|GDP Loss (billion US$2005/yr);Policy Cost|GDP Loss (billion US$2010/yr);-1.10774;NULL;reg+glo
Policy Cost|GDP Loss|w/o transfers (billion US$2005/yr);Policy Cost|GDP Loss|w/o transfers (billion US$2010/yr);-1.10774;NULL;reg+glo
Prices|Index2010|Agriculture|Food products|Plant-based|Maize (1);Price|Agriculture|Corn|Index (Index (2010 = 1));1;NULL;reg+glo
Prices|Index2010|Agriculture|Food products|Livestock (1);Price|Agriculture|Livestock|Index (Index (2010 = 1));1;NULL;reg+glo
Prices|Index2010|Agriculture|Food products (1);Price|Agriculture|Non-Energy Crops and Livestock|Index (Index (2010 = 1));1;NULL;reg+glo
