"model";"scenario";"region";"variable";"unit";"period";"value"
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2025;4.33188804345403
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2030;4.00946260180233
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2035;3.51273002214172
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2040;3.29530373342598
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2045;3.6191237787261
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2050;3.83096249896426
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Buildings energy costs";"trillion US$";2020;1.01713103205
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Buildings energy costs";"trillion US$";2025;1.50420430004
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Buildings energy costs";"trillion US$";2030;2.31164580963
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Buildings energy costs";"trillion US$";2035;2.5084742776
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Buildings energy costs";"trillion US$";2040;2.43611698365
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Buildings energy costs";"trillion US$";2045;2.433076255
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Buildings energy costs";"trillion US$";2050;2.58706719958
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2020;1.276293912
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2025;2.02930769244
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2030;2.8689204177
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2035;2.78303358839
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2040;2.52541352487
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2045;2.38338859454
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2050;2.47888350908
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2020;0.750162371947419
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2025;0.406004326011421
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2030;0.518500268290871
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2035;0.697859004063854
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2040;0.858465574228347
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2045;1.00818630011004
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2050;0.924414301445748
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2020;0.750162371947419
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2025;1.45491566351592
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2030;2.32921501135749
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2035;1.92666108305315
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2040;1.84257383409922
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2045;1.93811702407686
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2050;1.71030432139717
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2020;0.8110221
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2025;1.0947161
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2030;1.4365029
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2035;1.3912491
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2040;1.2973777
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2045;1.2936799
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Low-carbon electricity investments";"trillion US$";2050;1.4834556
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2020;0.8110221
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2025;1.8896267
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2030;2.569468
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2035;1.9406982
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2040;1.6950845
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2045;1.4299304
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Low-carbon electricity investments";"trillion US$";2050;1.711474
